bucket,scientific_name,common_name,description
Uncommon,Carcharhinus albimarginatus,Silvertip Shark,"Silvertip Shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Uncommon,Carcharhinus limbatus,Blacktip Shark,"Blacktip Shark, Blackfin Shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Uncommon,Scarus rivulatus,Surf parrotfish,"Surf parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
Uncommon,Carcharhinus amboinensis,pigeye shark,"pigeye shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Uncommon,Sepia officinalis,Common Cuttlefish,"Common Cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
Uncommon,Lethrinus nebulosus,Spangled emperor,"Spangled emperor: marine fish with typical reef fish body shape, scales, and fins"
Uncommon,Penaeus duorarum,northern pink shrimp,northern pink shrimp: marine invertebrate found on coral reefs
Uncommon,Sphyrna mokarran,Great Hammerhead Shark,"Great Hammerhead Shark: distinctive hammer-shaped head with eyes at tips, grey body, tall dorsal fin"
Uncommon,Lethrinus miniatus,Trumpet emperor,"Trumpet emperor: marine fish with typical reef fish body shape, scales, and fins"
Uncommon,Aliger gigas,Queen conch,Queen conch: marine invertebrate found on coral reefs
Uncommon,Plectropomus maculatus,Spotted coralgrouper,"Spotted coralgrouper: robust stocky fish with large mouth, mottled coloring, heavy body"
Uncommon,Carcharhinus fitzroyensis,creek whaler,"creek whaler: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Uncommon,Siganus doliatus,Barred spinefoot,"Barred spinefoot: marine fish with typical reef fish body shape, scales, and fins"
Uncommon,Loligo vulgaris,Common Squid,"Common Squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
Uncommon,Dugong dugon,Dugong mudip,Dugong mudip: marine mammal with streamlined body for ocean life
Uncommon,Mobula alfredi,Reef Manta Ray,"Reef Manta Ray, Alfred manta, Inshore manta ray, Prince Alfred’s ray: ray with broad triangular wings, pronounced head, long whip tail with spine"
Rare,Panulirus guttatus,spotted spiny lobster,"spotted spiny lobster: spiny lobster with long antennae, no large claws, segmented tail, armored body"
Rare,Acanthochromis polyacanthus,Spiny chromis,"Spiny chromis: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Rare,Peltodoris atromaculata,Dotted sea slug,"Dotted sea slug, Sea cow, Cow snail: marine invertebrate found on coral reefs"
Rare,Chamelea gallina,Striped Venus Clam,Striped Venus Clam: marine invertebrate found on coral reefs
Rare,Triaenodon obesus,Whitetip Shark,"Whitetip Shark, Whitetip reef shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Rare,Pomacentrus moluccensis,Lemon damsel,"Lemon damsel: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Rare,Hexaplex trunculus,banded dye-murex,banded dye-murex: marine invertebrate found on coral reefs
Rare,Caranx ignobilis,Giant Jack,"Giant Jack, Giant trevally: powerful silvery fish with forked tail, streamlined body, large eyes"
Rare,Lutjanus argentimaculatus,Mangrove red snapper,"Mangrove red snapper: medium-sized fish with sloping head profile, often reddish or yellowish, forked tail"
Rare,Rhizoprionodon taylori,Australian sharpnose shark,"Australian sharpnose shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Rare,Pinna nobilis,fan mussel,fan mussel: marine invertebrate found on coral reefs
Rare,Cuapetes americanus,American grass shrimp,"American grass shrimp: translucent shrimp with long antennae, often with colored markings"
Rare,Flabellina affinis,Mediterranean violet aeolid,Mediterranean violet aeolid: marine invertebrate found on coral reefs
Rare,Chione elevata,Elevata,Elevata: marine invertebrate found on coral reefs
Rare,Chione cancellata,Cross-Barred Venus,Cross-Barred Venus: marine invertebrate found on coral reefs
Rare,Tridentiger brevispinis,Brevispinis,"Brevispinis: small bottom-dwelling fish with fused pelvic fins forming suction disc, large head"
Rare,Mugil cephalus,Black Mullet,"Black Mullet: marine fish with typical reef fish body shape, scales, and fins"
Rare,Argopecten gibbus,Atlantic Calico Scallop,Atlantic Calico Scallop: marine invertebrate found on coral reefs
Rare,Ancylomenes pedersoni,anemone cleaner shrimp,"anemone cleaner shrimp: translucent shrimp with long antennae, often with colored markings"
Rare,Stramonita haemastoma,Florida Rocksnail,Florida Rocksnail: marine invertebrate found on coral reefs
Rare,Trachemys scripta,slider,slider: marine reptile with flippers adapted for swimming
Rare,Venus verrucosa,clam,clam: marine invertebrate found on coral reefs
Rare,Ruditapes philippinarum,Manila Clam,Manila Clam: marine invertebrate found on coral reefs
Rare,Grapsus grapsus,Sally Lightfoot Crab,Sally Lightfoot Crab: marine invertebrate found on coral reefs
Rare,Bolinus brandaris,dye murex,dye murex: marine invertebrate found on coral reefs
Rare,Mimachlamys varia,Variegated Scallop,Variegated Scallop: marine invertebrate found on coral reefs
Rare,Strombus pugilis,West Indian Fighting Conch,West Indian Fighting Conch: marine invertebrate found on coral reefs
Rare,Reishia clavigera,Clavigera,Clavigera: marine invertebrate found on coral reefs
Rare,Pteria colymbus,Atlantic Wing Oyster,Atlantic Wing Oyster: marine invertebrate found on coral reefs
Rare,Felimare tricolor,tricolor doris,"tricolor doris: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Macrostrombus costatus,milk conch,milk conch: marine invertebrate found on coral reefs
Rare,Phyllonotus pomum,apple murex,apple murex: marine invertebrate found on coral reefs
Rare,Coralliophila salebrosa,Caribbean Coralsnail,Caribbean Coralsnail: marine invertebrate found on coral reefs
Rare,Phyllidia varicosa,Variable Wart Slug,"Variable Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
Rare,Mercenaria campechiensis,Südliche Quahog-Muschel,Südliche Quahog-Muschel: marine invertebrate found on coral reefs
Rare,Conus ventricosus,Mediterranean cone,Mediterranean cone: marine invertebrate found on coral reefs
Rare,Edmundsella pedata,violet sea slug,violet sea slug: marine invertebrate found on coral reefs
Rare,Stramonita rustica,Rustic Rocksnail,Rustic Rocksnail: marine invertebrate found on coral reefs
Rare,Callista chione,Smooth Venus,Smooth Venus: marine invertebrate found on coral reefs
Rare,Urocaris longicaudata,longtail grass shrimp,"longtail grass shrimp: translucent shrimp with long antennae, often with colored markings"
Rare,Ruditapes decussatus,Chequered carpet shell,"Chequered carpet shell, Cross-cut carpet shell: marine invertebrate found on coral reefs"
Rare,Felimare picta,giant doris,"giant doris: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Amphiprion bicinctus,Twoband anemonefish,"Twoband anemonefish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Rare,Loligo forbesii,veined squid,"veined squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
Rare,Strombus alatus,Florida fighting conch,Florida fighting conch: marine invertebrate found on coral reefs
Rare,Pseudanthias squamipinnis,Sea goldie,"Sea goldie: robust stocky fish with large mouth, mottled coloring, heavy body"
Rare,Portunus pelagicus,blue swimming crab,"blue swimming crab: swimming crab with paddle-shaped rear legs, broad carapace"
Rare,Dosinia lupinus,Smooth Artemis,Smooth Artemis: marine invertebrate found on coral reefs
Rare,Megapitaria maculata,Calico Clam,Calico Clam: marine invertebrate found on coral reefs
Rare,Reishia luteostoma,Luteostoma,Luteostoma: marine invertebrate found on coral reefs
Rare,Taeniura lymma,Bluespotted ribbontail ray,"Bluespotted ribbontail ray, Ribbontail stingray: flat diamond-shaped ray with whip-like tail, smooth body, spiracles behind eyes"
Rare,Conus spurius,alphabet cone,alphabet cone: marine invertebrate found on coral reefs
Rare,Polititapes aureus,golden carpet shell,golden carpet shell: marine invertebrate found on coral reefs
Rare,Timoclea ovata,oval venus,oval venus: marine invertebrate found on coral reefs
Rare,Phyllidiella pustulosa,Warty Wart Slug,"Warty Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
Rare,Macrocallista nimbosa,sunray venus,sunray venus: marine invertebrate found on coral reefs
Rare,Lindapecten muscosus,rough scallop,rough scallop: marine invertebrate found on coral reefs
Rare,Pterois miles,Miles' firefish,"Miles' firefish: heavily camouflaged fish with venomous spines, elaborate fin rays, mottled coloring"
Rare,Penaeus monodon,Asian tiger shrimp,Asian tiger shrimp: marine invertebrate found on coral reefs
Rare,Chicoreus florifer,flowery lace murex,flowery lace murex: marine invertebrate found on coral reefs
Rare,Gymnothorax javanicus,Giant Moray,"massive moray eel with leopard-like dark brown spots on tan body, constantly gaping mouth, small eyes"
Rare,Conasprella jaspidea,Jasper Cone,Jasper Cone: marine invertebrate found on coral reefs
Rare,Monetaria annulus,ring cowrie,ring cowrie: marine invertebrate found on coral reefs
Rare,Cypraea tigris,tiger cowrie,tiger cowrie: marine invertebrate found on coral reefs
Rare,Rhombosepion elegans,elegant cuttlefish,"elegant cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
Rare,Heniochus intermedius,Red Sea bannerfish,"Red Sea bannerfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
Rare,Zebrasoma desjardinii,ringed tang,"ringed tang: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
Rare,Pygoplites diacanthus,Regal angelfish,"Regal angelfish, Royal angelfish: laterally compressed fish with vivid colors, often with blue, yellow, or orange patterns, extended fins"
Rare,Chromodoris annae,Annae,"Annae: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Paracirrhites forsteri,Forster's Hawkfish,"Forster's Hawkfish, Blackside hawkfish: marine fish with typical reef fish body shape, scales, and fins"
Rare,Chlorurus sordidus,Daisy parrotfish,"Daisy parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
Rare,Ascarosepion latimanus,Broadclub cuttlefish,"Broadclub cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
Rare,Phyllidia ocellata,Ocellated Wart Slug,"Ocellated Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
Rare,Octopus cyanea,Cyane's octopus,"Cyane's octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
Rare,Doriprismatica atromarginata,Atromarginata,"Atromarginata: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Mauritia arabica,Arabian cowrie,Arabian cowrie: marine invertebrate found on coral reefs
Rare,Erronea errones,mistaken cowrie,mistaken cowrie: marine invertebrate found on coral reefs
Rare,Felimare orsinii,Orsinii,"Orsinii: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Hypselodoris tryoni,Tryoni,"Tryoni: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
Rare,Thalassoma rueppellii,Klunzinger's wrasse,"Klunzinger's wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
Rare,Paraflabellina ischitana,Ischitana,Ischitana: marine invertebrate found on coral reefs
Rare,Rhombosepion orbignyanum,Orbigny's cuttlefish,"Orbigny's cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
Rare,Pecten jacobaeus,St.James's scallop,St.James's scallop: marine invertebrate found on coral reefs
Rare,Conus adversarius,Adversarius,Adversarius: marine invertebrate found on coral reefs
Rare,Sepioteuthis sepioidea,Atlantic oval squid,"Atlantic oval squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
Rare,Abudefduf vaigiensis,Damselfish,"Damselfish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Rare,Rapana venosa,Mangrove oyster,Mangrove oyster: marine invertebrate found on coral reefs
Rare,Chionopsis intapurpurea,Intapurpurea,Intapurpurea: marine invertebrate found on coral reefs
Rare,Monomia rubromarginatus,Rubromarginatus,"Rubromarginatus: swimming crab with paddle-shaped rear legs, broad carapace"
Rare,Chaetodon auriga,Threadfin Butterflyfish,"Threadfin Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
Rare,Monetaria moneta,money cowrie,money cowrie: marine invertebrate found on coral reefs
Rare,Conus scalaris,Scalaris,Scalaris: marine invertebrate found on coral reefs
Rare,Fistularia commersonii,Cornetfish,"Cornetfish, Bluespotted cornetfish: marine fish with typical reef fish body shape, scales, and fins"
Rare,Aequipecten opercularis,Queen Scallop,Queen Scallop: marine invertebrate found on coral reefs
Rare,Spondylus gaederopus,European thorny oyster,European thorny oyster: marine invertebrate found on coral reefs
Rare,Luria lurida,brown cowry,brown cowry: marine invertebrate found on coral reefs
Rare,Acanthurus sohal,Red Sea surgeonfish,"Red Sea surgeonfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
Rare,Dosinia concentrica,elegant dosinia,elegant dosinia: marine invertebrate found on coral reefs
Rare,Cephalopholis argus,Bluespotted grouper,"Bluespotted grouper: robust stocky fish with large mouth, mottled coloring, heavy body"
Rare,Ctenochaetus striatus,Striated surgeonfish,"Striated surgeonfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
Rare,Arothron diadematus,masked puffer,"masked puffer: rounded fish that can inflate with water, beak-like fused teeth, often spotted"
Rare,Pitar rudis,Rudis,Rudis: marine invertebrate found on coral reefs
Rare,Nembrotha kubaryana,Trance Wrinkle Dorid,Trance Wrinkle Dorid: marine invertebrate found on coral reefs
Rare,Pomacentrus sulfureus,sulphur damsel,"sulphur damsel: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Rare,Strombus floridanus,Floridanus,Floridanus: marine invertebrate found on coral reefs
Rare,Lobatus raninus,hawkwing conch,hawkwing conch: marine invertebrate found on coral reefs
Rare,Conus ebraeus,Hebrew cone,Hebrew cone: marine invertebrate found on coral reefs
Rare,Cephalopholis miniata,Coral hind,"Coral hind, Vermilion seabas: robust stocky fish with large mouth, mottled coloring, heavy body"
Rare,Lambis lambis,common spider conch,common spider conch: marine invertebrate found on coral reefs
VeryRare,Conomurex persicus,Persicus,Persicus: marine invertebrate found on coral reefs
VeryRare,Chaetodon fasciatus,diagonal butterflyfish,"diagonal butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Phyllidia elegans,Elegans,"Elegans: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Vasula deltoidea,deltoid dog winkle,deltoid dog winkle: marine invertebrate found on coral reefs
VeryRare,Ocenebra erinaceus,Oyster Drill,Oyster Drill: marine invertebrate found on coral reefs
VeryRare,Flexopecten glaber,bald scallop,bald scallop: marine invertebrate found on coral reefs
VeryRare,Atrina rigida,stiff penshell,stiff penshell: marine invertebrate found on coral reefs
VeryRare,Calotrophon ostrearum,mauve-mouth drill,mauve-mouth drill: marine invertebrate found on coral reefs
VeryRare,Naso elegans,Elegant Unicornfish,"Elegant Unicornfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Lirophora latilirata,Imperial Venus,Imperial Venus: marine invertebrate found on coral reefs
VeryRare,Claremontiella nodulosa,Blackberry Drupe,Blackberry Drupe: marine invertebrate found on coral reefs
VeryRare,Chaetodon austriacus,blacktail butterflyfish,"blacktail butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Chioneryx grus,Grus,Grus: marine invertebrate found on coral reefs
VeryRare,Pinna rudis,Rough Penshell,Rough Penshell: marine invertebrate found on coral reefs
VeryRare,Ergalatax contracta,Contracta,Contracta: marine invertebrate found on coral reefs
VeryRare,Lyncina lynx,bobcat cowrie,bobcat cowrie: marine invertebrate found on coral reefs
VeryRare,Naria erosa,eroded cowrie,eroded cowrie: marine invertebrate found on coral reefs
VeryRare,Gouldia cerina,waxy gouldclam,waxy gouldclam: marine invertebrate found on coral reefs
VeryRare,Chicoreus floridanus,Floridanus,Floridanus: marine invertebrate found on coral reefs
VeryRare,Rhinecanthus assasi,Picasso triggerfish,"Picasso triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Odontodactylus scyllarus,Coloured mantis shrimp,"Coloured mantis shrimp, Peacock mantis shrimp, Harlequin mantis shrimp, Painted mantis shrimp: marine invertebrate found on coral reefs"
VeryRare,Jorunna funebris,Ringed Velvet Dorid,Ringed Velvet Dorid: marine invertebrate found on coral reefs
VeryRare,Plicopurpura patula,widemouth rocksnail,widemouth rocksnail: marine invertebrate found on coral reefs
VeryRare,Felimare villafranca,Villafranca,"Villafranca: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Arothron hispidus,Whitespotted Puffer,"Whitespotted Puffer, White-spotted puffer: rounded fish that can inflate with water, beak-like fused teeth, often spotted"
VeryRare,Argopecten irradians,Atlantic Bay Scallop,Atlantic Bay Scallop: marine invertebrate found on coral reefs
VeryRare,Luria cinerea,Atlantic gray cowrie,Atlantic gray cowrie: marine invertebrate found on coral reefs
VeryRare,Chaetodon semilarvatus,bluecheek butterflyfish,"bluecheek butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Monetaria caputserpentis,serpent's head cowrie,serpent's head cowrie: marine invertebrate found on coral reefs
VeryRare,Gouldia minima,Minima,Minima: marine invertebrate found on coral reefs
VeryRare,Phyllidia coelestis,Heavenly Wart Slug,"Heavenly Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Conomurex luhuanus,blood-mouth conch,blood-mouth conch: marine invertebrate found on coral reefs
VeryRare,Pitar fulminatus,Lightning Pitar,Lightning Pitar: marine invertebrate found on coral reefs
VeryRare,Purpuradusta gracilis,graceful cowrie,graceful cowrie: marine invertebrate found on coral reefs
VeryRare,Aplysia fasciata,banded sea hare,banded sea hare: marine invertebrate found on coral reefs
VeryRare,Chromis dimidiata,Bicolor Reeffish,"Bicolor Reeffish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Conus textile,Cloth-of-gold cone,"Cloth-of-gold cone, Textile cone shell: marine invertebrate found on coral reefs"
VeryRare,Amblyglyphidodon indicus,Indicus,"Indicus: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Metapenaeus endeavouri,brown prawn,brown prawn: marine invertebrate found on coral reefs
VeryRare,Zebrasoma xanthurum,purple tang,"purple tang: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Gomphosus klunzingeri,Klunzingeri,"Klunzingeri: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Scarus ferrugineus,rusty parrotfish,"rusty parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
VeryRare,Ascarosepion papuense,Papuan cuttlefish,"Papuan cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Aplysia dactylomela,Spotted Seahare,Spotted Seahare: marine invertebrate found on coral reefs
VeryRare,Vokesimurex rubidus,Rubidus,Rubidus: marine invertebrate found on coral reefs
VeryRare,Aplysia punctata,Sea Hare,Sea Hare: marine invertebrate found on coral reefs
VeryRare,Coris aygula,Clown coris,"Clown coris, Clown wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Cheilinus lunulatus,broomtail wrasse,"broomtail wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Microcirce consternans,Consternans,Consternans: marine invertebrate found on coral reefs
VeryRare,Drupella margariticola,shouldered castor bean,shouldered castor bean: marine invertebrate found on coral reefs
VeryRare,Muricopsis cristata,Cristata,Cristata: marine invertebrate found on coral reefs
VeryRare,Lyncina carneola,purple-mouthed cowry,purple-mouthed cowry: marine invertebrate found on coral reefs
VeryRare,Lyncina vitellus,Pacific deer cowrie,Pacific deer cowrie: marine invertebrate found on coral reefs
VeryRare,Conus mus,mouse cone,mouse cone: marine invertebrate found on coral reefs
VeryRare,Conus coronatus,coronated cone,coronated cone: marine invertebrate found on coral reefs
VeryRare,Caribachlamys sentis,scaly scallop,scaly scallop: marine invertebrate found on coral reefs
VeryRare,Favartia cellulosa,pitted murex,pitted murex: marine invertebrate found on coral reefs
VeryRare,Goniobranchus geometricus,Geometric Rainbow Dorid,"Geometric Rainbow Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Spathochlamys benedicti,Yellow-Spot Scallop,Yellow-Spot Scallop: marine invertebrate found on coral reefs
VeryRare,Venerupis corrugata,corrugated venus,corrugated venus: marine invertebrate found on coral reefs
VeryRare,Polititapes rhomboides,banded carpet shell,banded carpet shell: marine invertebrate found on coral reefs
VeryRare,Cyclina sinensis,Sinensis,Sinensis: marine invertebrate found on coral reefs
VeryRare,Conus regius,crown cone,crown cone: marine invertebrate found on coral reefs
VeryRare,Trionectes tenuipes,Tenuipes,"Tenuipes: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Conus arenatus,sand-dusted cone,sand-dusted cone: marine invertebrate found on coral reefs
VeryRare,Spondylus tenuis,digitate thorny oyster,digitate thorny oyster: marine invertebrate found on coral reefs
VeryRare,Panulirus versicolor,painted spiny lobster,"painted spiny lobster: spiny lobster with long antennae, no large claws, segmented tail, armored body"
VeryRare,Ascarosepion plangon,Striking cuttlefish,"Striking cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Penaeus esculentus,brown tiger prawn,brown tiger prawn: marine invertebrate found on coral reefs
VeryRare,Euvola raveneli,Round-Rib Scallop,Round-Rib Scallop: marine invertebrate found on coral reefs
VeryRare,Anomalocardia cuneimeris,Cuneimeris,Cuneimeris: marine invertebrate found on coral reefs
VeryRare,Nembrotha cristata,Cristata,Cristata: marine invertebrate found on coral reefs
VeryRare,Eupleura sulcidentata,sharp-rib drill,sharp-rib drill: marine invertebrate found on coral reefs
VeryRare,Charybdis truncata,Truncata,"Truncata: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Chromodoris magnifica,Magnifica,"Magnifica: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Hypselodoris bullockii,Lavender Split-tooth Dorid,"Lavender Split-tooth Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Pinna carnea,amber pen shell,amber pen shell: marine invertebrate found on coral reefs
VeryRare,Chicoreus brunneus,adusta murex,adusta murex: marine invertebrate found on coral reefs
VeryRare,Hypselodoris zephyra,Zephyra,"Zephyra: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Lupocycloporus gracilimanus,Gracilimanus,"Gracilimanus: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Octopus briareus,Caribbean Reef Octopus,"Caribbean Reef Octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Naria acicularis,Atlantic Yellow Cowrie,Atlantic Yellow Cowrie: marine invertebrate found on coral reefs
VeryRare,Octopus insularis,Brazil reef octopus,"Brazil reef octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Chromodoris lochi,Pyjama Rainbow Dorid,"Pyjama Rainbow Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Caribachlamys ornata,ornate scallop,ornate scallop: marine invertebrate found on coral reefs
VeryRare,Macrocypraea zebra,measled cowrie,measled cowrie: marine invertebrate found on coral reefs
VeryRare,Erronea caurica,caurica cowrie,caurica cowrie: marine invertebrate found on coral reefs
VeryRare,Coryphellina exoptata,Orange-nosed Triple-tooth,Orange-nosed Triple-tooth: marine invertebrate found on coral reefs
VeryRare,Chromodoris orientalis,Orientalis,"Orientalis: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Chlamys farreri,Farreri,Farreri: marine invertebrate found on coral reefs
